               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.2709,              5.1788,              2.4317,            0.055878,             0.12351,            0.045107,            0.022106,                   0,                   0,                   0,              0.0784,              0.0024,              0.0024
                   1,              2.1622,              4.2097,              2.4409,              0.3681,             0.15953,            0.090829,            0.050571,                   0,                   0,                   0,            0.055868,           0.0048677,           0.0048677
                   2,              2.1589,              3.6698,              2.3701,              0.3296,             0.24426,             0.13477,            0.074833,                   0,                   0,                   0,            0.033302,           0.0073023,           0.0073023
                   3,              2.1732,                3.52,              2.3158,             0.36672,             0.17432,             0.12928,            0.072814,                   0,                   0,                   0,            0.010704,            0.009704,            0.009704
                   4,               2.174,              3.8802,              2.1726,             0.28912,             0.30038,             0.14171,            0.077037,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   5,               2.257,              4.2477,              2.1903,             0.21764,             0.28903,             0.14774,            0.080015,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   6,              2.2435,              4.1942,              2.2269,             0.25114,             0.22891,             0.12714,            0.072593,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              2.2187,               3.775,              2.2019,             0.35856,             0.32343,             0.16127,            0.093433,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              2.0587,              3.4852,              2.1283,             0.39134,             0.29796,             0.15247,            0.092057,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              2.0888,              3.6939,              2.1398,             0.43861,             0.22705,             0.15363,            0.087057,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              2.0405,              3.6647,              2.1187,            0.080005,             0.25887,            0.086301,            0.048951,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              2.0635,              3.6184,              2.1351,             0.43473,             0.25474,             0.17172,            0.097055,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              2.0794,               3.252,              2.0416,             0.47386,             0.29302,             0.23946,             0.14283,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              2.0245,              3.1834,              1.9517,             0.42828,             0.31822,             0.26058,             0.14438,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,               2.034,               3.215,              2.0927,             0.45416,             0.39141,             0.35021,             0.20202,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              1.9669,              3.0428,              2.0942,             0.50817,             0.35883,             0.33128,             0.20173,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              2.0241,              3.0553,              2.1263,             0.54333,             0.33917,             0.31973,              0.1953,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              2.0201,               2.894,              1.9896,               0.482,             0.42615,             0.35381,             0.19479,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              2.0229,              2.8396,               2.059,              0.7386,             0.29274,             0.38197,             0.23022,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              2.0534,                2.79,              2.0826,              0.5355,             0.41393,             0.41181,             0.25223,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              2.0812,               2.709,              2.0317,             0.60489,             0.40027,             0.42873,             0.25207,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              1.9935,              2.5903,               1.939,             0.58411,             0.45526,             0.47913,             0.29202,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
